headword,ecdict_phonetic,ecdict_pos_raw,ecdict_primary_pos,ecdict_definition_en,ecdict_translation_zh,ecdict_collins,ecdict_oxford,ecdict_tags,ecdict_bnc_rank,ecdict_frq_rank,ecdict_exchange,oxford_cefr_levels,oxford_pos_values,oxford_entry_count,webster_fallback_available,source_coverage,human_review,review_reason
affluent,'æfluәnt,,,n. an affluent person; a person who is financially well off,"a. 丰富的, 富裕的",1,F,cet4 ky toefl gre,9888,7167,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
afford,ә'fɒ:d,,,v. be able to spare or give up,"vt. 买得起, 足以, 给予",3,T,zk gk cet4 cet6 ky toefl ielts,1722,1846,d:afforded/3:affords/p:afforded/i:affording,B1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
affordable,,,,s that you have the financial means for,[计] 普及型,1,F,toefl gre,10203,5234,,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
afghanistan,æf'gænistæn,,,n. a mountainous landlocked country in central Asia; bordered by Iran to the west and Russia to the north and Pakistan to the east and south,n. 阿富汗,,F,,7396,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
afield,ә'fi:ld,,,r. far away from home or one's usual surroundings,"adv. 离开着, 偏离着, 在战场上",1,F,,9689,17251,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
afraid,ә'freid,,,a. filled with fear or apprehension,"a. 害怕的, 恐怕的, 遗憾的",3,T,zk gk,1562,1400,,A1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
africa,'æfrikә,,,n. the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean,n. 非洲,,F,gk cet4 ielts,1250,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
african,'æfrikәn,,,n. a native or inhabitant of Africa,n. 非洲人,,F,gk cet4 ielts,2102,1203,s:africans,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
after,'ɑ:ftә,,,s. located farther aft,"prep. 在...之后, 由于",5,T,zk gk,96,120,,A1|A2,adv.|conj.|prep.,3,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aftermath,'ɑ:ftәmæθ,,,n. the consequences of an event (especially a catastrophic event),"n. 结果, 后果",2,F,gre,6944,5655,s:aftermaths,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
afternoon,'ɑ:ftә'nu:n,,,n. the part of the day between noon and evening,"n. 午后, 下午",4,T,zk gk,1118,1191,s:afternoons,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
afterward,'ɑ:ftәwәd,,,r happening at a time subsequent to a reference time,"adv. 然后, 后来",,F,gk cet4 cet6 ky,33038,4195,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
afterwards,'ɑ:ftәwәdz,,,r happening at a time subsequent to a reference time,"adv. 然后, 后来",3,T,,1951,5652,,B2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
again,ә'gein,,,r. anew,"adv. 再一次, 又, 到原处",5,T,zk gk,156,184,,A1,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
against,ә'geinst,,,"prep. Abreast; opposite to; facing; towards; as, against the","prep. 反对, 对着, 倚靠",5,T,zk gk cet4 ky,155,180,,A2,prep.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
age,eidʒ,,,n. how long something has existed,"n. 年龄, 老年, 成年, 寿命, 时代, 时期",5,T,zk gk toefl ielts,363,386,s:ages/d:aged/i:ageing/3:ages/p:aged,A1|B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aged,'eidʒid,,,n. people who are old collectively,"a. 老的, 陈的, 有...岁的",2,T,toefl,2890,8479,1:dp/0:age/d:aged,B1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
ageing,'eidʒiŋ,,,n acquiring desirable qualities by being left undisturbed for some time,"n. 变老, 成熟",,F,,6036,38735,0:age/1:i/i:ageing,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
agency,'eidʒәnsi,,,n. an administrative unit of government,"n. 代理机构, 经销商, 中介",4,T,gk cet4 ky ielts,1036,694,s:agencies,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
agenda,ә'dʒendә,,,n. a temporally organized plan for matters to be attended to,"pl. 议程, 日常工作事项",3,F,gk ky toefl ielts gre,3026,2130,s:agendas,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
agent,'eidʒәnt,,,n. an active and efficient cause; capable of producing a certain effect,"n. 代理商, 政府代表, 动原, 媒介",4,T,gk cet4 ky toefl,1214,1020,s:agents,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aggravate,'ægrәveit,,,v make worse,"vt. 使恶化, 使更严重, 加重",1,F,cet6 ky toefl ielts gre,9460,9820,d:aggravated/p:aggravated/i:aggravating/3:aggravates,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
aggregate,'ægrigәt,,,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster","n. 合计, 总计, 聚集体",2,F,toefl ielts gre,5505,12841,s:aggregates/d:aggregated/i:aggregating/3:aggregates/p:aggregated,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
aggression,ә'greʃәn,,,n. a disposition to behave aggressively,"n. 侵犯, 侵略",2,F,gk cet6 toefl gre,4772,4521,s:aggressions,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aggressive,ә'gresiv,,,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""","a. 侵略的, 挑畔的, 进取的",3,T,gk cet4 cet6 ky toefl ielts gre,3648,2514,,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aggressively,,,,r. in an aggressive manner,"adv. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆",,F,,11173,6227,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
aging,'eidʒiŋ,,,n. the organic process of growing older and showing the effects of increasing age,"n. 老化, 变陈",,F,,23291,5306,i:aging/0:aging/1:i,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
agitation,.ædʒi'teiʃәn,,,n. a mental state of extreme emotional disturbance,"n. 激动, 焦虑, 煽动, 搅动, 摇动",,F,cet6 toefl ielts,8673,12905,s:agitations,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
agnes,'æ^nis,,,,n. 艾格尼丝（女子名）,,F,,6292,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
ago,ә'gәu,,,s. gone by; or in the past,adv. 以前,5,T,zk gk,504,316,,A1,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
agony,'ægәni,,,n. intense feelings of suffering; acute mental or physical pain,"n. 极大的痛苦, 挣扎",2,F,cet4 cet6 ky ielts gre,5575,7577,s:agonies,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
agree,ә'gri:,,,v. be in accord; be in agreement,"vi. 同意, 赞成, 应允, 适合",5,T,zk gk,401,514,d:agreed/p:agreed/3:agrees/i:agreeing,A1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
agreeable,ә'griәbl,,,a. conforming to your own liking or feelings or nature,"a. 令人愉快的, 同意的",1,F,cet6 ky toefl ielts gre,9587,13667,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
agreed,ә'ɡri:d,,,s. united by being of the same opinion,a. 同意的；通过协议的,1,F,,5638,16194,0:agree/1:dp/p:agreed/d:agreed,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
agreement,ә'gri:mәnt,,,n. the statement (oral or written) of an exchange of promises,"n. 同意, 合约, 协议",4,T,zk gk ielts,623,1059,s:agreements,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
agricultural,.ægri'kʌltʃәrәl,,,a. relating to or used in or promoting agriculture or farming,a. 农业的,3,F,gk,2188,3104,,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
agriculture,'ægrikʌltʃә,,,n. the class of people engaged in growing food,n. 农业,3,F,gk cet4 cet6 ky toefl ielts,2274,4165,,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
ah,ɑ:,,,"interj. An exclamation, expressive of surprise, pity, complaint,","interj. 啊, 哈",,F,,1012,3256,s:ahs,A2,exclam.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aha,ɑ:'hɑ:,,,"interj. An exclamation expressing, by different intonations,",interj. 啊哈,,F,,2997,11981,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ahead,ә'hed,,,s. having the leading position or higher score in a contest,"a. 领先的, 预先的, 向前的",4,T,gk,1504,1025,,B1,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
ahmed,,,,,n. 艾哈迈德（男子名）,,F,,9345,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
ai,ai,,,n an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders,"[计] 附加信息, 人工智能",,F,,2413,,s:ais,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
aid,eid,,,n. a resource,"n. 帮助, 外援, 助手",5,T,gk cet4 cet6 ky,1096,1640,s:aids/d:aided/i:aiding/p:aided/3:aids,B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aide,eid,,,n. someone who acts as assistant,"n. 助手, 副官",2,F,,9020,3035,s:aides,C1,n.,1,F,ECDICT|OXFORD_REPO,F,
aids,eidz,,,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles,n. 爱滋病(获得性免疫缺陷综合征),4,F,gk ielts,3757,1793,0:aid/1:s3,B2,n.,1,F,ECDICT|OXFORD_REPO,F,
ailment,'eilmәnt,,,n. an often persistent bodily disorder or disease; a cause for complaining,"n. 病痛, 疾病",1,F,toefl gre,11277,8723,s:ailments,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
aim,eim,,,n. the goal intended to be attained (and which is believed to be attainable),"n. 目标, 瞄准, 击中目标的能力",4,T,gk cet4 cet6 ky toefl ielts,1261,1931,s:aims/3:aims/p:aimed/d:aimed/i:aiming,B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
air,єә,,,n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,"n. 空气, 旋律, 态度",5,T,zk gk toefl ielts,527,370,d:aired/s:airs/i:airing/p:aired/3:airs,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
airborne,'єәbɒ:n,,,s. moved or conveyed by or through air,"a. 升空的, 空运的, 空中传播的, 空降的",1,F,toefl gre,9978,7134,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
aircraft,'єәkræft,,,n. a vehicle that can fly,"n. 航空器, 飞机",4,T,gk cet4 ky toefl,1538,2803,,B2,n.,1,F,ECDICT|OXFORD_REPO,F,
airfield,'єәfi:ld,,,n. a place where planes take off and land,n. 飞机场,1,F,,6643,12723,s:airfields,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
airline,'єәlain,,,n. a hose that carries air under pressure,"n. 航线, 航线的设备, 航空公司",4,F,zk gk cet4 ky,3554,2128,s:airlines,A2,n.,1,F,ECDICT|OXFORD_REPO,F,
airplane,'єәplein,,,n. an aircraft that has a fixed wing and is powered by propellers or jets,n. 飞机,2,F,zk gk cet4,21702,3519,s:airplanes,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
airport,'єәpɒ:t,,,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,n. 飞机场,4,T,zk gk ielts,2541,1765,s:airports,A1,n.,1,F,ECDICT|OXFORD_REPO,F,
airway,'єәwei,,,n a duct that provides ventilation (as in mines),"n. 空中航线, 风道",2,F,,6111,10799,s:airways,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
aisle,ail,,,n. a long narrow passage (as in a cave or woods),"n. 走廊, 侧廊, 过道",1,F,ky ielts,7161,4484,s:aisles,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
akin,ә'kin,,,s. similar in quality or character,"a. 同类的, 同族的, 同源的",1,F,toefl,9616,7884,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
al,,,,n a silvery ductile metallic element found primarily in bauxite,"[计] 算法语言, 字母, 汇编语言",,F,,5629,,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alain,,,,,n. 阿兰（人名）,,F,,7468,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alan,'ælәn,,,n. A wolfhound.,n. 艾伦（男子名）,,F,,1797,,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alarm,ә'lɑ:m,,,n. fear resulting from the awareness of danger,"n. 惊恐, 警报, 警钟",3,T,gk cet4 ky toefl ielts,3004,3693,s:alarms/d:alarmed/p:alarmed/i:alarming/3:alarms,B1|B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alarmed,,,,s. experiencing a sudden sense of danger,a. 受惊的；焦虑的；惊恐的,,T,,8463,13818,0:alarm/1:dp/d:alarmed/p:alarmed,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alarming,ә'lɑ:miŋ,,,a. frightening because of an awareness of danger,"a. 使人惊恐的, 引起惊恐的",,T,,7554,7719,0:alarm/1:i/i:alarming,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alas,ә'læs,,,n a flat wing-shaped process or winglike part of an organism,interj. 唉,1,F,cet6,7025,8520,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
albania,æl'beiniә,,,n. a republic in southeastern Europe on the Adriatic coast of the Balkan Peninsula,n. 阿尔巴尼亚,,F,,9351,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
albeit,ɔ:l'bi:it,,,conj. Even though; although; notwithstanding.,"conj. 尽管, 虽然",2,F,gre,4587,6086,,C1,conj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
albert,'ælbәt,,,n. prince consort of Queen Victoria of England (1819-1861),n. 艾伯特（男子名）,,F,,3330,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
album,'ælbәm,,,n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc,"n. 粘贴簿, 唱片套",4,F,gk cet6 ky ielts,2991,2215,s:albums,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alcohol,'ælkәhɒl,,,n. a liquor or brew containing alcohol as the active agent,"n. 酒精, 酒",3,T,gk cet4 ky,2654,2191,s:alcohols,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alcoholic,.ælkә'hɒlik,,,n. a person who drinks alcohol to excess habitually,"n. 酒鬼, 酒精中毒者",2,T,gk,7952,7755,s:alcoholics,B1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alcoholism,'ælkәhɒlizәm,,,n. habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms,"n. 酗酒, 酒精中毒",,F,,15010,9107,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ale,eil,,,n. a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume,n. 麦芽酒,1,F,,6628,12830,s:ales/p:aled/3:ales,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alec,'ælik,,,,n. 亚历克（男子名）,,F,,6724,,s:alecs,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alert,ә'lә:t,,,n. condition of heightened watchfulness or preparation for action,"a. 警觉的, 灵敏的, 留心的",3,F,cet4 cet6 ky toefl gre,4966,5318,d:alerted/p:alerted/i:alerting/3:alerts/s:alerts,C1,adj.|n.|v.,3,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alex,,,,,[计] 开放网络文件系统,,F,,3752,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alexander,",æli^'zɑ:ndә",,,n. European herb somewhat resembling celery widely naturalized in Britain coastal regions and often cultivated as a potherb,n. 亚历山大（男子名）,,F,,2971,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alexandra,",æli^'zɑ:ndrә",,,,"n. 亚历山德拉（女子名, 义为男人的保护者）",,F,,6249,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alexei,,,,,n. (Alexei)人名；(捷、罗、俄)阿列克谢,,F,,9395,,s:alexei/0:alexei/1:s,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alfred,'ælfrid,,,n. king of Wessex; defeated the Vikings and encouraged writing in English (849-899),n. 阿尔佛雷德（男子名）,,F,,5116,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alga,'ælgә,,,n. primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves,"n. 藻类, 海藻",,F,,8285,,s:algae,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
algae,'ælgi:,,,n primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves,"pl. 藻类, 海藻",1,F,toefl,,9463,0:alga/1:s/s:algaes,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
algeria,æl'dʒiәriә,,,n. a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim; colonized by France in the 19th century but gained autonomy in the early 1960s,n. 阿尔及利亚,,F,,9294,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
algorithm,'ælgәriðm,,,n. a precise rule (or set of rules) specifying how to solve some problem,n. 算法,,F,,6819,8230,s:algorithms,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ali,,,,n. United States prizefighter who won the world heavyweight championship three times (born in 1942),[计] 异步线路接口,,F,,4878,,s:ali/0:ali/1:s,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alice,'ælis,,,,[计] 应用语言接口转换与扩充,,F,,3048,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alien,'eiljәn,,,v. transfer property or ownership,"n. 外国人, 外侨",2,F,cet6 ky toefl ielts,5998,3977,s:aliens/i:aliening/p:aliened/3:aliens/d:aliened,B2|C1,adj.|n.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alienate,'eiljәneit,,,v. make withdrawn or isolated or emotionally dissociated,"vt. 使疏远, 离间, 转让",2,F,toefl ielts gre,8590,8136,d:alienated/p:alienated/i:alienating/3:alienates,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alienation,.eiljә'neiʃәn,,,n. the feeling of being alienated from other people,"n. 疏远, 离间, 转让",,F,,10106,9619,s:alienations,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
align,ә'lain,,,v. place in a line or arrange so as to be parallel or straight,"vi. 排列, 排成一行, 结盟",2,F,gre,7857,5939,d:aligned/p:aligned/i:aligning/3:aligns,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alignment,ә'lainmәnt,,,n. the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines,"n. 队列, 结盟, 校正",1,F,cet6 toefl,8946,7898,s:alignments,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alike,ә'laik,,,a. having the same or similar characteristics,"a. 相似的, 同样的",2,F,gk cet4 cet6 ky toefl,4989,4389,,C1,adj.|adv.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alison,'ælisn,,,,n. 艾莉森（女子名）,,F,,4625,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alive,ә'laiv,,,a. possessing life,"a. 活着的, 活泼的, 敏感的, 热闹的",3,T,zk gk cet4 cet6 ky,2080,1532,,A2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
all,ɒ:l,,,a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class,"a. 所有的, 全部的, 一切的",5,T,zk gk ielts,39,43,,A1|A2,adv.|det.|pron.,3,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
allan,'ælәn,,,,"n. 艾伦（男子名, 等于Alan）",,F,,5840,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
allegation,.æli'geiʃәn,,,n. (law) a formal accusation against somebody (often in a court of law),"n. 断言, 主张, 申辩",3,F,cet6 toefl,3459,3516,s:allegations,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
allege,ә'ledʒ,,,v. report or maintain,"vt. 宣称, 主张, 提出, 断言",4,F,cet6 ky toefl ielts gre,3738,5319,d:alleged/p:alleged/i:alleging/3:alleges,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alleged,ә'ledʒd,,,s. declared but not proved,"a. 被断言的, 所谓的",,F,,3878,4091,0:allege/1:dp/p:alleged/d:alleged,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
allegedly,ә'ledʒidli,,,r. according to what has been alleged,adv. 依其申述,,F,,5801,4656,,C1,adv.,1,F,ECDICT|OXFORD_REPO,F,
allegiance,ә'li:dʒәns,,,n. the loyalty that citizens owe to their country (or subjects to their sovereign),"n. 忠贞, 效忠",1,F,cet6 toefl ielts gre,6439,7232,s:allegiances,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
allen,"'ælin, 'ælәn",,,"n. United States comedienne remembered as the confused but imperturbable partner of her husband, George Burns (1906-1964)",n. 艾伦（男子名）,,F,,3889,40152,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
allergic,ә'lә:dʒik,,,a. characterized by or caused by allergy,"a. 对...过敏的, 极反感的",1,F,gk ielts gre,14426,9143,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
allergy,'ælәdʒi,,,n. hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity,"n. 变应性, 反感, 厌恶",2,F,ielts gre,12351,7220,s:allergies,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
alleviate,ә'li:vieit,,,"v provide physical relief, as from pain","vt. 减轻, 使缓和",1,F,cet6 ky toefl ielts gre,7706,7531,d:alleviated/i:alleviating/3:alleviates/p:alleviated,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alley,'æli,,,n. a narrow street with walls on both sides,"n. 小路, 巷",1,F,gk ielts,6528,4340,s:alleys,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alliance,ә'laiәns,,,n. the state of being allied or confederated,"n. 联盟, 联合",3,F,cet6 ky toefl ielts,2354,3376,s:alliances,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
allied,ә'laid,,,s. related by common characteristics or ancestry,"a. 联盟的, 联姻的, 联系起来的",3,T,cet6 ky,4605,5905,0:ally/1:dp/d:allied,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
alligator,'æligeitә,,,n. leather made from alligator's hide,n. 短吻鳄,1,F,toefl,21499,9530,s:alligators,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
allocate,'ælәukeit,,,v. distribute according to a plan or set apart for a special purpose,"vt. 分派, 分配",2,F,gk cet6 ky toefl ielts gre,3035,6763,d:allocated/i:allocating/3:allocates/p:allocated,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
allocation,.ælәu'keiʃәn,,,n. (computer science) the assignment of particular areas of a magnetic disk to particular data or instructions,"n. 配置, 分配, 拨给",,F,,3262,7082,s:allocations,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
allotment,ә'lɒtmәnt,,,n. a share set aside for a specific purpose,"n. 分配, 拨款, 命运",1,F,,9948,14275,s:allotments,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
allow,ә'lau,,,v. let have,"vt. 允许, 同意给予, 承认",5,T,zk gk cet4 ky,257,339,d:allowed/i:allowing/3:allows/p:allowed,A2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
allowance,ә'lauәns,,,n. an amount allowed or granted (as during a given period),"n. 津贴, 零用钱, 限额, 折扣, 允许",2,F,gk cet6 ky ielts gre,2481,7677,s:allowances/i:allowancing/p:allowanced/3:allowances/d:allowanced,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
allude,ә'lu:d,,,v. make a more or less disguised reference to,"vi. 暗指, 提及",1,F,toefl gre,11377,8601,p:alluded/i:alluding/d:alluded/3:alludes,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
ally,'ælai. ә'lai,,,n. a friendly nation,"n. 同盟者, 同盟国, 助手",4,T,cet6 ky toefl ielts,3121,2408,s:allies/d:allied/p:allied/i:allying/3:allies,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
almighty,ɒ:l'maiti,,,s. having unlimited power,"a. 万能的, 全能的",1,F,,9852,11894,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
almond,'ɑ:mәnd,,,n. small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California,n. 杏仁,1,F,gre,9172,7510,s:almonds,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
almost,'ɒ:lmәust,,,r (of actions or states) slightly short of or not quite accomplished; all but,"adv. 几乎, 差不多",5,T,zk gk,280,291,,A2,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alone,ә'lәun,,,s. isolated from others,"a. 孤独的, 单独的, 独自的",4,T,zk gk cet4 ky toefl ielts,1297,1097,,A2,adj.|adv.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
along,ә'lɒŋ,,,r. with a forward motion,"adv. 平行地, 向前",5,T,zk gk,823,447,,A2,adv.|prep.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
alongside,ә'lɒŋ'said,,,r side by side,"adv. 在旁边, 靠拢着",3,T,gk cet6 ky ielts,2737,4203,,B2,prep.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
aloud,ә'laud,,,r. using the voice; not silently,"adv. 出声地, 大声地",1,T,zk gk cet4 ky,5849,5694,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
